Student ID,student_name,gender,grade,school_name,reading_score,math_score
0,Paul Bradley,M,9th,Huang High School,99,99
1,Victor Smith,M,12th,Huang High School,99,99
2,Kevin Rodriguez,M,12th,Huang High School,99,99
3,Dr. Richard Scott,M,12th,Huang High School,99,99
4,Bonnie Ray,F,9th,Huang High School,99,99
5,Bryan Miranda,M,9th,Huang High School,99,99
6,Sheena Carter,F,11th,Huang High School,99,99
7,Nicole Baker,F,12th,Huang High School,99,99
8,Michael Roth,M,10th,Huang High School,99,99
9,Matthew Greene,M,10th,Huang High School,99,99
10,Andrew Alexander,M,10th,Huang High School,99,99
11,Daniel Cooper,M,10th,Huang High School,99,99
12,Brittney Walker,F,9th,Huang High School,99,99
13,William Long,M,9th,Huang High School,99,99
14,Tammy Hebert,F,10th,Huang High School,99,99
15,Dr. Jordan Carson,M,11th,Huang High School,99,99
16,Donald Zamora,M,9th,Huang High School,99,99
17,Kimberly Santiago,F,9th,Huang High School,99,99
18,Kevin Stevens,M,9th,Huang High School,99,99
19,Brandi Lyons,F,9th,Huang High School,99,99
20,Lisa Davis,F,10th,Huang High School,99,99
21,Kristen Lopez,F,10th,Huang High School,98,99
22,Kimberly Stewart,F,11th,Huang High School,98,99
23,Christopher Parker,M,9th,Huang High School,98,99
24,Chelsea Griffith,F,11th,Huang High School,98,99
25,Cesar Morris,M,9th,Huang High School,98,99
26,Melanie Decker,F,9th,Huang High School,98,99
27,Tracey Oconnor,F,10th,Huang High School,98,99
28,Kelly James,F,11th,Huang High School,98,99
29,Nicole Brown,F,12th,Huang High School,98,99
30,Bobby Harris,M,9th,Huang High School,98,99
31,Brian Fernandez,M,10th,Huang High School,98,99
32,Candace Phelps,F,11th,Huang High School,98,99
33,Amy Gonzalez,F,12th,Huang High School,98,99
34,Steven Green,M,11th,Huang High School,98,99
35,Benjamin Carlson,M,10th,Huang High School,98,99
36,Kevin Bailey,M,10th,Huang High School,98,99
37,Jesse Newton,M,10th,Huang High School,98,99
38,Kimberly Mercado,F,12th,Huang High School,98,99
39,Gregory Roberts,M,9th,Huang High School,98,99
40,Matthew Mayer,M,9th,Huang High School,98,99
41,Jennifer Parks,F,11th,Huang High School,98,99
42,John Carlson,M,9th,Huang High School,98,99
43,Megan Roberts,F,9th,Huang High School,98,99
44,Debra Flores,F,10th,Huang High School,98,99
45,Heidi Jackson,F,11th,Huang High School,98,99
46,Denise Bradford,F,12th,Huang High School,98,99
47,Ellen Brown,F,11th,Huang High School,98,99
48,Amy Perkins,F,9th,Huang High School,98,99
49,Natalie Mitchell,F,10th,Huang High School,98,99
50,Tiffany Gutierrez,F,10th,Huang High School,98,99
51,Jennifer Hess,F,11th,Huang High School,98,99
52,Christine Fletcher,F,12th,Huang High School,97,99
53,Jon Smith,M,9th,Huang High School,97,99
54,Tracey Yates,F,9th,Huang High School,97,99
55,Jerry Gordon,M,12th,Huang High School,97,99
56,Michael Cox,M,11th,Huang High School,97,99
57,Madeline Snyder MD,F,9th,Huang High School,97,99
58,Allison King,F,11th,Huang High School,97,99
59,Theresa Meyer,F,9th,Huang High School,97,99
60,Jared Wood,M,9th,Huang High School,97,99
61,Eric Maynard,M,9th,Huang High School,97,99
62,Mark Owens,M,11th,Huang High School,97,99
63,Ronnie Conley,M,11th,Huang High School,97,99
64,Kimberly Davis,F,12th,Huang High School,97,99
65,Amy Mitchell,F,11th,Huang High School,97,99
66,Mr. Dylan Taylor MD,M,10th,Huang High School,97,99
67,Elizabeth Henderson,F,12th,Huang High School,97,99
68,James Lopez,M,12th,Huang High School,97,99
69,Michael Morgan,M,11th,Huang High School,97,99
70,Angela Francis,F,12th,Huang High School,97,99
71,Breanna Taylor,F,10th,Huang High School,97,99
72,Jason Johnson,M,12th,Huang High School,97,99
73,Kyle Martin,M,10th,Huang High School,97,99
74,Dr. Scott Gill,M,10th,Huang High School,97,99
75,Lisa Long,F,10th,Huang High School,96,99
76,Erin Liu,F,9th,Huang High School,96,99
77,Marcus Richards,M,12th,Huang High School,96,99
78,Jason Thompson,M,12th,Huang High School,96,99
79,Elizabeth Mckinney,F,9th,Huang High School,96,99
80,Jessica Bailey,F,10th,Huang High School,96,99
81,Lisa Frye,F,12th,Huang High School,96,99
82,Lindsey Baker,F,11th,Huang High School,96,99
83,Lisa Ramirez,F,12th,Huang High School,96,99
84,Joseph Butler,M,10th,Huang High School,96,99
85,Tina Lynch,F,10th,Huang High School,96,99
86,Leah Benitez,F,10th,Huang High School,96,99
87,Elizabeth Parker,F,10th,Huang High School,96,99
88,Melissa Hunter,F,10th,Huang High School,96,99
89,Miss Madison Everett,F,11th,Huang High School,96,99
90,Ronald Garcia,M,9th,Huang High School,96,99
91,Mark Cherry,M,10th,Huang High School,96,99
92,Ryan Stokes,M,9th,Huang High School,96,99
